
0it [00:00, ?it/s]
1016179it [01:00, 17597.20it/s]
1017944it [01:00, 17496.10it/s]
1020031it [01:00, 18387.87it/s]
1021885it [01:00, 18348.05it/s]
1023872it [01:00, 18779.53it/s]
1025809it [01:00, 18939.45it/s]
1027711it [01:01, 17588.31it/s]
1029495it [01:01, 17227.43it/s]
1031237it [01:01, 17270.10it/s]
1033083it [01:01, 17606.43it/s]
1034967it [01:01, 17955.91it/s]
1036772it [01:01, 17418.32it/s]
1038524it [01:01, 16388.03it/s]
1040353it [01:01, 16898.50it/s]
1042061it [01:01, 16506.52it/s]
1043779it [01:02, 16699.19it/s]
1045460it [01:02, 16461.24it/s]
1047195it [01:02, 16715.03it/s]
1049019it [01:02, 17140.52it/s]
1050741it [01:02, 16945.66it/s]
1052442it [01:02, 16900.94it/s]
1054137it [01:02, 16416.97it/s]
1055857it [01:02, 16638.97it/s]
1057669it [01:02, 17045.93it/s]
1059380it [01:02, 16550.17it/s]
1061057it [01:03, 16607.99it/s]
1062761it [01:03, 16728.13it/s]
1064438it [01:03, 16398.62it/s]
1066371it [01:03, 17163.81it/s]
1068125it [01:03, 17269.96it/s]
1069861it [01:03, 17137.06it/s]
1071619it [01:03, 17252.68it/s]
1073429it [01:03, 17494.36it/s]
1075419it [01:03, 18152.12it/s]
1077244it [01:03, 16962.22it/s]
1078963it [01:04, 16675.44it/s]
1080648it [01:04, 16562.11it/s]
1082661it [01:04, 17484.94it/s]
1084432it [01:04, 17333.13it/s]
1086221it [01:04, 17493.38it/s]
1087982it [01:04, 16839.66it/s]
1089789it [01:04, 17180.00it/s]
1091518it [01:04, 17186.61it/s]
1093305it [01:04, 17385.37it/s]
1095050it [01:05, 17249.05it/s]
1096780it [01:05, 16195.63it/s]
1098416it [01:05, 16052.93it/s]
1100033it [01:05, 15975.34it/s]
1102025it [01:05, 16980.35it/s]
1103747it [01:05, 17035.63it/s]
1105543it [01:05, 17302.59it/s]
1107286it [01:05, 17188.65it/s]
1109239it [01:05, 17827.50it/s]
1111171it [01:05, 18232.62it/s]
1113006it [01:06, 17985.39it/s]
1114813it [01:06, 17117.34it/s]
1116540it [01:06, 16906.39it/s]
1118297it [01:06, 17098.34it/s]
1120047it [01:06, 17191.50it/s]
1121807it [01:06, 17302.46it/s]
1123542it [01:06, 17169.30it/s]
1125263it [01:06, 16748.27it/s]
1127071it [01:06, 17116.63it/s]
1128788it [01:06, 16823.66it/s]
1130476it [01:07, 16307.75it/s]
1132301it [01:07, 16845.06it/s]
1134075it [01:07, 17097.62it/s]
1135793it [01:07, 16280.26it/s]
1137435it [01:07, 16273.97it/s]
1139072it [01:07, 16298.68it/s]
1140893it [01:07, 16828.43it/s]
1142633it [01:07, 16994.89it/s]
1144501it [01:07, 17462.28it/s]
1146331it [01:08, 17685.05it/s]
1148159it [01:08, 17841.00it/s]
1149948it [01:08, 17593.16it/s]
1151712it [01:08, 17406.88it/s]
1153499it [01:08, 17532.62it/s]
1155255it [01:08, 17128.81it/s]
1157171it [01:08, 17687.86it/s]
1158948it [01:08, 17225.15it/s]
1160679it [01:08, 17145.07it/s]
1162400it [01:08, 16567.01it/s]
1164431it [01:09, 17535.44it/s]
1166206it [01:09, 17162.27it/s]
1167939it [01:09, 16851.50it/s]
1169647it [01:09, 16919.25it/s]
1171349it [01:09, 16913.60it/s]
1173065it [01:09, 16982.75it/s]
